,Dns_SMILES,Experimental_RT,Predicted_RT
129,OCC(C=NC(C)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1CO,10.12,10.71
61,O=C1N=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NC4=C1N=C(C([C@@H](O)C)=O)CN4,10.14,7.53
126,OC([C@H](CC(C)C)NC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)[C@H](O)C)=O)=O,10.18,10.46
138,OC([C@@H]1CCCN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,10.18,11.17
111,OC(CCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,10.21,9.78
107,O=C1N=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NC4=C1N(C)C=N4,10.32,9.64
140,O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)CSCC[C@H](NS(C6=CC=CC7=C(N(C)C)C=CC=C76)(=O)=O)C(O)=O)O,10.52,11.23
171,CN(C)C1=C(C=CC=C2S(NCCCCNCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)(=O)=O)C2=CC=C1,10.54,13.04
136,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@@H](C)C(O)=O,10.58,11.06
166,NCC(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,10.77,12.84
148,CCC(C(/N=C(O)/CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)C,10.78,11.65
155,OC(C[C@@H](C(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,10.78,12.16
139,O=C([C@H](C(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,10.81,11.23
122,O=C1C(N=C2)=C(NC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N1)NC2=O,10.82,10.34
127,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCSC)=O,10.89,10.6
54,N=C(N1CCCC1=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11,7.04
121,OC(CNC(C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1)=O)=O,11.05,10.25
146,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O,11.09,11.6
131,OC(CC1=CN=CN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,11.12,10.78
128,O=C(O)C(NC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CC3=CNC4=CC=CC=C43,11.19,10.7
118,O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CC(C)C,11.22,10.06
135,O=C1N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC(N1)=O,11.34,11.04
125,CCCCC(NC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)C(O)=O,11.36,10.43
142,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC(C)C,11.36,11.43
159,N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCONC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N,11.37,12.35
145,O=C(C1=CC=CC=C1N)C[C@@H](C(O)=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11.44,11.6
168,O=C([C@H](CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)O,11.44,12.85
175,O=C(O)C1=CC=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,11.52,13.28
158,N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NOCC[C@@H](C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,11.59,12.3
112,O/C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N\C(C(O)=O)CC3=CC=CC=C3,11.65,9.79
179,OC(C(C1=CC=CC=C1)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,11.69,13.58
182,OC(C1=CC(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,11.76,13.64
176,OC1=C(I)C=C(C=C1I)C[C@](C(O)=O)([H])NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11.82,13.31
172,OC(COC1=CC=C(CC(N)=O)C=C1)CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)C,11.91,13.14
187,O=C(C1=CC=CC=C1NC2=O)C[C@H]2NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,11.97,14.17
201,CC1=NC=C(CO)C(C=O)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,12.01,14.38
110,ONS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,12.02,9.7
153,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC3=CC=CC=C3,12.11,12.05
164,OC(C1=CN=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,12.21,12.75
156,CN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=NC=NC4=C3NC=N4,12.22,12.18
183,OC(C1=C(C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)O)=O,12.22,13.7
188,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC[C@@H](C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,12.3,14.18
167,CNC1=NC=NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2,12.74,12.84
177,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)=O,12.74,13.45
206,O[C@@H](C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)C(O)=O,12.81,14.58
205,OC(C(O)=O)C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1,12.94,14.54
185,N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCC[C@@H](C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O)N,12.96,14.03
193,CC(C)C[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N3CCC[C@H]3C(O)=O)=O,12.99,14.26
180,OC([C@H]([C@@H](C)CC)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,13.06,13.63
169,O=C(N1CCC[C@H]1C(O)=O)[C@@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CC4=CC=CC=C4,13.13,12.92
