Dns_SMILES,Experimental_RT,Predicted_RT
CN(C)C1=C(C=CC=C2S(OC3=CC=CC=C3OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)(=O)=O)C2=CC=C1,26.7,26.52
OS(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,2.47,4.89
O[C@H]1[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(C)=C2)=O)O[C@H](CO)[C@H]1O,2.94,4.51
O[C@H]1[C@H](N2C(N=C(N)C(C)=C2)=O)O[C@H](CO)[C@H]1OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,5.98,5.28
O=C(C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCCCC)O,19.2,14.9
O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H](C1)N2C3=C(N=C2)C(NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=N3)=O,5.57,4.15
O=C(O)[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC(N[C@@H](CS)C(O)=O)=O,8.62,8.63
NCC(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,10.77,12.84
OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,13.77,13.16
OC1C(O)C(CO)OC1N2C=NC3=C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)N=C(NC6=CC=CC=C6)N=C32,8.73,7.45
O=C(O)C1=CC=CC=C1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.62,14.52
O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC(O)=O,7.59,8.35
NC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,16.3,15.74
CN(C)C1=C(C=CC=C2S(OC3=CC=C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)(=O)=O)C2=CC=C1,25.04,25.02
O[C@@H]1[C@H](O)[C@@H](CSC)O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,6.97,8.38
O=C1N(C=CC(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=N1)[C@@H](C[C@@H]4O)O[C@@H]4COP(O)(O)=O,4.66,4.07
